id,batch_id,source_table,reference_table,matching_algorithm,matched_data,status,confidence_score,created_at,matching_type
7435428,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 18204, 'id_2': 18205, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'xjgm+79r, jl. gadang bumiayu, bumiayu, kec. kedungkandang, kota malang, jawa timur 65135 tasya laundry tasya laundry rt 003 rw 005 112.6333951', 'combined_2': 'xjgm+79w, jl. gadang bumiayu, bumiayu, kec. kedungkandang, kota malang, jawa timur 65135 sya laundry sya laundry rt 003 rw 005 112.6334411', 'confidence': 0.9998250603675842, 'faiss_score': 0.9294480085372925, 'fuzzy_score': 95, 'source_table': 'ganda', 'fuzzy_combined': 95, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.554003+00:00,Self Match
7435427,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 18205, 'id_2': 18204, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'xjgm+79w, jl. gadang bumiayu, bumiayu, kec. kedungkandang, kota malang, jawa timur 65135 sya laundry sya laundry rt 003 rw 005 112.6334411', 'combined_2': 'xjgm+79r, jl. gadang bumiayu, bumiayu, kec. kedungkandang, kota malang, jawa timur 65135 tasya laundry tasya laundry rt 003 rw 005 112.6333951', 'confidence': 0.9998250603675842, 'faiss_score': 0.9294480085372925, 'fuzzy_score': 95, 'source_table': 'ganda', 'fuzzy_combined': 95, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.548387+00:00,Self Match
7435426,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 17928, 'id_2': 17929, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'terminal arjosari, jalan terusan raden intan, arjosari, kec. blimbing, kota malang, jawa timur 65126 depot arif depot arif terminal arjosari 112.6590173', 'combined_2': 'terminal arjosari, jalan terusan raden intan, arjosari, kec. blimbing, kota malang, jawa timur 65126 depot bayu depot bayu terminal arjosari 112.659009', 'confidence': 0.9998250603675842, 'faiss_score': 0.9010549783706665, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.543008+00:00,Self Match
7435425,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 17929, 'id_2': 17928, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'terminal arjosari, jalan terusan raden intan, arjosari, kec. blimbing, kota malang, jawa timur 65126 depot bayu depot bayu terminal arjosari 112.659009', 'combined_2': 'terminal arjosari, jalan terusan raden intan, arjosari, kec. blimbing, kota malang, jawa timur 65126 depot arif depot arif terminal arjosari 112.6590173', 'confidence': 0.9998250603675842, 'faiss_score': 0.9010549783706665, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.536985+00:00,Self Match
7435424,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 17927, 'id_2': 17928, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'terminal arjosari, jalan terusan raden intan, arjosari, kec. blimbing, kota malang, jawa timur 65126 depot alif makmur depot alif makmur terminal arjosari 112.659012', 'combined_2': 'terminal arjosari, jalan terusan raden intan, arjosari, kec. blimbing, kota malang, jawa timur 65126 depot arif depot arif terminal arjosari 112.6590173', 'confidence': 0.9998250603675842, 'faiss_score': 0.9122179746627808, 'fuzzy_score': 93, 'source_table': 'ganda', 'fuzzy_combined': 93, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.530316+00:00,Self Match
7435423,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 17928, 'id_2': 17927, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'terminal arjosari, jalan terusan raden intan, arjosari, kec. blimbing, kota malang, jawa timur 65126 depot arif depot arif terminal arjosari 112.6590173', 'combined_2': 'terminal arjosari, jalan terusan raden intan, arjosari, kec. blimbing, kota malang, jawa timur 65126 depot alif makmur depot alif makmur terminal arjosari 112.659012', 'confidence': 0.9998250603675842, 'faiss_score': 0.9122179746627808, 'fuzzy_score': 93, 'source_table': 'ganda', 'fuzzy_combined': 93, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.523819+00:00,Self Match
7435422,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 17545, 'id_2': 17549, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'ps. madyopuro, jl. danau jonge no. 8, madyopuro, kec. kedungkandang, kota malang, jawa timur 65139 toko bella toko bella rt 007 rw 002 112.6710856', 'combined_2': 'ps. madyopuro, jl. danau jonge, madyopuro, kec. kedungkandang, kota malang, jawa timur 65139 toko ""aldo"" toko ""aldo"" rt 007 rw 002 112.6707486', 'confidence': 0.9998250603675842, 'faiss_score': 0.7602199912071228, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.516085+00:00,Self Match
7435421,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 17549, 'id_2': 17545, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'ps. madyopuro, jl. danau jonge, madyopuro, kec. kedungkandang, kota malang, jawa timur 65139 toko ""aldo"" toko ""aldo"" rt 007 rw 002 112.6707486', 'combined_2': 'ps. madyopuro, jl. danau jonge no. 8, madyopuro, kec. kedungkandang, kota malang, jawa timur 65139 toko bella toko bella rt 007 rw 002 112.6710856', 'confidence': 0.9998250603675842, 'faiss_score': 0.7602199912071228, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.510716+00:00,Self Match
7435420,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15472, 'id_2': 15473, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. terusan piranha atas no.135, tunjungsekar, kec. lowokwaru, kota malang, jawa timur 65142 smp islam sabilillah malang smp islam sabilillah malang rt 001 rw 006 112.6302474', 'combined_2': 'jl. terusan piranha atas no.137, tunjungsekar, kec. lowokwaru, kota malang, jawa timur 65142 tk islam sabilillah malang 2 tk islam sabilillah malang 2 rt 003 rw 003 112.6312069', 'confidence': 0.9998250603675842, 'faiss_score': 0.8009880185127258, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.504528+00:00,Self Match
7435419,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15473, 'id_2': 15472, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. terusan piranha atas no.137, tunjungsekar, kec. lowokwaru, kota malang, jawa timur 65142 tk islam sabilillah malang 2 tk islam sabilillah malang 2 rt 003 rw 003 112.6312069', 'combined_2': 'jl. terusan piranha atas no.135, tunjungsekar, kec. lowokwaru, kota malang, jawa timur 65142 smp islam sabilillah malang smp islam sabilillah malang rt 001 rw 006 112.6302474', 'confidence': 0.9998250603675842, 'faiss_score': 0.8009880185127258, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.498392+00:00,Self Match
7435418,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 15420, 'id_2': 15429, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. terusan kesatrian no.1, kesatrian, kec. blimbing, kota malang, jawa timur 65121 tk kartika iv-4 tk kartika iv-4 rt 005 rw 003 112.6451884', 'combined_2': 'jl. terusan kesatrian no.74, kesatrian, kec. blimbing, kota malang, jawa timur 65121 tk kartika iv-79 tk kartika iv-79 rt 002 rw 004 112.6445191', 'confidence': 0.9998250603675842, 'faiss_score': 0.857729971408844, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.493749+00:00,Self Match
